UID          PID    PPID  C STIME TTY          TIME CMD
root         458       2  0 08:47 ?        00:00:00 [kworker/R-nvme-]
root         459       2  0 08:47 ?        00:00:00 [kworker/R-nvme-]
root         461       2  0 08:47 ?        00:00:00 [kworker/R-nvme-]
root         504       2  0 08:47 ?        00:00:00 [kworker/R-ttm]
root         506       2  0 08:47 ?        00:00:00 [card0-crtc0]
root         507       2  0 08:47 ?        00:00:00 [card0-crtc1]
root         508       2  0 08:47 ?        00:00:00 [card0-crtc2]
root         536       2  0 08:47 ?        00:00:00 [kworker/R-xfsal]
root         537       2  0 08:47 ?        00:00:00 [kworker/R-xfs_m]
root         538       2  0 08:47 ?        00:00:00 [kworker/R-xfs-b]
root         539       2  0 08:47 ?        00:00:00 [kworker/R-xfs-c]
root         540       2  0 08:47 ?        00:00:00 [kworker/R-xfs-r]
root         541       2  0 08:47 ?        00:00:00 [kworker/R-xfs-b]
root         542       2  0 08:47 ?        00:00:00 [kworker/R-xfs-i]
root         543       2  0 08:47 ?        00:00:00 [kworker/R-xfs-l]
root         544       2  0 08:47 ?        00:00:00 [kworker/R-xfs-c]
root         545       2  0 08:47 ?        00:00:01 [xfsaild/nvme0n1p4]
root         637       1  0 08:47 ?        00:00:00 /usr/lib/systemd/systemd-journald
root         668       1  0 08:47 ?        00:00:00 /usr/lib/systemd/systemd-userdbd
root         673       2  0 08:47 ?        00:00:00 [psimon]
root         679       1  0 08:47 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root         683       2  0 08:47 ?        00:00:00 [psimon]
root         747       2  0 08:47 ?        00:00:00 [kworker/R-xfs-b]
root         748       2  0 08:47 ?        00:00:00 [kworker/R-xfs-c]
root         749       2  0 08:47 ?        00:00:00 [kworker/R-xfs-r]
root         750       2  0 08:47 ?        00:00:00 [kworker/R-xfs-b]
root         751       2  0 08:47 ?        00:00:00 [kworker/R-xfs-i]
root         752       2  0 08:47 ?        00:00:00 [kworker/R-xfs-l]
root         753       2  0 08:47 ?        00:00:00 [kworker/R-xfs-c]
root         754       2  0 08:47 ?        00:00:00 [xfsaild/nvme0n1p2]
root         776       2  0 08:47 ?        00:00:00 [irq/159-mei_me]
root         787       2  0 08:47 ?        00:00:00 [kworker/R-cfg80]
rpc          800       1  0 08:47 ?        00:00:00 /usr/bin/rpcbind -w -f
systemd+     802       1  0 08:47 ?        00:00:14 /usr/lib/systemd/systemd-oomd
systemd+     808       1  0 08:47 ?        00:00:01 /usr/lib/systemd/systemd-resolved
root         827       1  0 08:47 ?        00:00:00 /usr/sbin/auditd
root         829     827  0 08:47 ?        00:00:00 /usr/sbin/sedispatch
root         841       2  0 08:47 ?        00:00:00 [kworker/R-rpcio]
root         842       2  0 08:47 ?        00:00:00 [kworker/R-xprti]
root         854       2  0 08:47 ?        00:00:00 [kworker/R-ath10]
root         855       2  0 08:47 ?        00:00:00 [kworker/R-ath10]
root         856       2  0 08:47 ?        00:00:00 [kworker/R-ath10]
dbus         867       1  0 08:47 ?        00:00:00 /usr/bin/dbus-broker-launch --scope system --audit
dbus         888     867  0 08:47 ?        00:00:00 dbus-broker --log 4 --controller 9 --machine-id 224ade994a9c4580a1728872d377bcd1 --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
avahi        892       1  0 08:47 ?        00:00:02 avahi-daemon: running [xps15.local]
root         893       1  0 08:47 ?        00:00:00 /usr/libexec/bluetooth/bluetoothd
root         897       1  0 08:47 ?        00:00:00 /usr/sbin/irqbalance
root         921       1  0 08:47 ?        00:00:00 /usr/sbin/mcelog --daemon --foreground
