UID          PID    PPID  C STIME TTY          TIME CMD
root         740       1  0 07:23 ?        00:00:00 /usr/lib/systemd/systemd-logind
root         741       1  0 07:23 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         745       1  0 07:23 ?        00:00:00 /usr/libexec/upowerd
root         746       1  0 07:23 ?        00:00:01 /usr/bin/VBoxDRMClient
root         756       1  0 07:23 ?        00:00:01 /usr/sbin/VBoxService -f
avahi        772     722  0 07:23 ?        00:00:00 avahi-daemon: chroot helper
root         806       1  0 07:23 ?        00:00:00 /usr/sbin/abrtd -d -s
root         812       1  0 07:23 ?        00:00:00 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
chrony       835       1  0 07:23 ?        00:00:00 /usr/sbin/chronyd -F 2
root         836       1  0 07:23 ?        00:00:00 /usr/sbin/ModemManager
root         840       1  0 07:23 ?        00:00:00 /usr/bin/python3 -sP /usr/sbin/firewalld --nofork --nopid
root         844       1  0 07:23 ?        00:00:00 /usr/bin/abrt-dump-journal-core -D -T -f -e
root         845       1  0 07:23 ?        00:00:00 /usr/bin/abrt-dump-journal-oops -fxtD
root         846       1  0 07:23 ?        00:00:00 /usr/bin/abrt-dump-journal-xorg -fxtD
root         854       1  0 07:23 ?        00:00:03 /usr/sbin/NetworkManager --no-daemon
root         885       1  0 07:23 ?        00:00:00 /usr/sbin/cupsd -l
root         895       1  0 07:23 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root         904       1  0 07:23 ?        00:00:00 /usr/sbin/gssproxy -D
colord       916       1  0 07:23 ?        00:00:00 /usr/libexec/colord
root        1020       1  0 07:23 ?        00:00:00 /usr/libexec/postfix/master -w
postfix     1025    1020  0 07:23 ?        00:00:00 qmgr -l -t unix -u
root        1046       1  0 07:23 ?        00:00:00 /usr/sbin/atd -f
root        1048       1  0 07:23 ?        00:00:00 /usr/sbin/crond -n
root        1064       1  0 07:23 ?        00:00:00 /usr/bin/sddm
root        1076       1  0 07:23 ?        00:00:00 /usr/libexec/uresourced
root        1194    1064  0 07:23 ?        00:00:00 /usr/libexec/sddm-helper --socket /tmp/sddm-auth-8a3ce491-b232-4e33-8cd4-5ecf098be654 --id 1 --start /usr/bin/startplasma-x11 --user rnyhof --display-server /usr/bin/X -nolisten tcp -background none -seat seat0 -noreset -keeptty -novtswitch -verbose 3
rnyhof      1197       1  0 07:23 ?        00:00:00 /usr/lib/systemd/systemd --user
rnyhof      1198    1197  0 07:23 ?        00:00:00 (sd-pam)
rnyhof      1229       1  0 07:23 ?        00:00:01 /usr/bin/kwalletd5 --pam-login 12 13
rnyhof      1230    1194  0 07:23 tty2     00:00:00 /usr/libexec/sddm-helper-start-x11user /usr/bin/X -nolisten tcp -background none -seat seat0 -noreset -keeptty -novtswitch -verbose 3 /etc/X11/xinit/Xsession "/usr/bin/startplasma-x11"
rnyhof      1231    1230  1 07:23 tty2     00:03:04 /usr/libexec/Xorg -nolisten tcp -background none -seat seat0 -noreset -keeptty -novtswitch -verbose 3 -auth /run/user/1026/xauth_jufcpr -displayfd 12 vt2
rnyhof      1233    1230  0 07:23 tty2     00:00:00 /usr/bin/startplasma-x11
rnyhof      1258    1197  0 07:23 ?        00:00:00 /usr/bin/dbus-broker-launch --scope user
rnyhof      1259    1258  0 07:23 ?        00:00:00 dbus-broker --log 4 --controller 10 --machine-id 7701c5a0df0d4049bf772bb234357ba3 --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
rnyhof      1268    1197  0 07:23 ?        00:00:00 /usr/libexec/imsettings-daemon
rnyhof      1450       1  0 07:23 ?        00:00:00 /usr/bin/VBoxClient --clipboard
rnyhof      1451    1450  0 07:23 ?        00:00:00 /usr/bin/VBoxClient --clipboard
rnyhof      1465       1  0 07:23 ?        00:00:00 /usr/bin/VBoxClient --seamless
rnyhof      1466    1465  0 07:23 ?        00:00:02 /usr/bin/VBoxClient --seamless
rnyhof      1473       1  0 07:23 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
rnyhof      1474    1473  0 07:23 ?        00:00:03 /usr/bin/VBoxClient --draganddrop
rnyhof      1481    1233  0 07:23 ?        00:00:00 /usr/bin/ssh-agent /bin/sh -c exec -l /bin/ksh -c "/usr/bin/startplasma-x11"
rnyhof      1699    1197  0 07:23 ?        00:00:00 /usr/libexec/uresourced --user
rnyhof      1707    1197  0 07:23 ?        00:00:00 /usr/libexec/xdg-desktop-portal
rnyhof      1711    1197  0 07:23 ?        00:00:00 /usr/bin/pipewire
rnyhof      1713    1197  0 07:23 ?        00:00:00 /usr/bin/wireplumber
rnyhof      1720    1197  0 07:23 ?        00:00:00 /usr/libexec/xdg-document-portal
rnyhof      1743    1197  0 07:23 ?        00:00:00 /usr/libexec/xdg-permission-store
root        1754    1720  0 07:23 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1026/doc
rnyhof      1763    1197  0 07:23 ?        00:00:01 /usr/bin/ksmserver
rnyhof      1765    1197  0 07:23 ?        00:00:03 /usr/bin/kded5
rnyhof      1766    1197  0 07:23 ?        00:02:17 /usr/bin/kwin_x11 --replace
rnyhof      1780    1197  0 07:23 ?        00:00:01 /usr/bin/kglobalaccel5
rnyhof      1786    1197  0 07:23 ?        00:00:00 /usr/libexec/dconf-service
rnyhof      1797    1197  0 07:23 ?        00:00:11 /usr/bin/plasmashell --no-respawn
rnyhof      1801    1197  0 07:23 ?        00:00:01 /usr/libexec/kactivitymanagerd
rnyhof      1809    1197  0 07:23 ?        00:00:00 /usr/bin/gmenudbusmenuproxy
rnyhof      1810    1197  0 07:23 ?        00:00:01 /usr/libexec/kf5/polkit-kde-authentication-agent-1
rnyhof      1811    1197  0 07:23 ?        00:00:01 /usr/libexec/org_kde_powerdevil
rnyhof      1815    1197  0 07:23 ?        00:00:00 /usr/libexec/xdg-desktop-portal-kde
rnyhof      1817    1197  0 07:23 ?        00:00:00 /usr/bin/xembedsniproxy
rnyhof      1828    1197  0 07:23 ?        00:00:00 /usr/bin/xsettingsd
rnyhof      1830    1197  0 07:23 ?        00:00:00 /usr/libexec/kf5/kscreen_backend_launcher
rnyhof      1853    1197  0 07:23 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
rnyhof      1899    1197  0 07:23 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
rnyhof      1906    1899  0 07:23 ?        00:00:00 /usr/bin/dbus-broker-launch --config-file=/usr/share/defaults/at-spi2/accessibility.conf --scope user
rnyhof      1907    1906  0 07:23 ?        00:00:00 dbus-broker --log 4 --controller 9 --machine-id 7701c5a0df0d4049bf772bb234357ba3 --max-bytes 100000000000000 --max-fds 6400000 --max-matches 5000000000
rnyhof      1912    1197  0 07:23 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
rnyhof      2024    1197  0 07:23 ?        00:00:00 /usr/bin/abrt-applet --gapplication-service
rnyhof      2031    1197  0 07:23 ?        00:00:01 /usr/libexec/kdeconnectd
rnyhof      2085    1197  0 07:23 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
rnyhof      2090    1197  0 07:23 ?        00:00:01 /usr/bin/kaccess
rnyhof      2093    1197  0 07:23 ?        00:00:01 /usr/bin/kalendarac
rnyhof      2109    1197  0 07:23 ?        00:00:00 /usr/bin/pipewire-pulse
root        2204       1  0 07:23 ?        00:00:00 /usr/sbin/abrt-dbus -t133
rnyhof      2367    1197  0 07:23 ?        00:00:01 /usr/bin/akonadi_control
rnyhof      2371    2367  0 07:23 ?        00:00:00 /usr/bin/akonadiserver
rnyhof      2378    2371  0 07:23 ?        00:00:00 /usr/sbin/mysqld --defaults-file=/home/rnyhof/.local/share/akonadi/mysql.conf --datadir=/home/rnyhof/.local/share/akonadi/db_data/ --socket=/run/user/1026/akonadi/mysql.socket --pid-file=/run/user/1026/akonadi/mysql.pid
rnyhof      2408    2367  0 07:23 ?        00:00:00 /usr/bin/akonadi_akonotes_resource --identifier akonadi_akonotes_resource_0
rnyhof      2409    2367  0 07:23 ?        00:00:01 /usr/bin/akonadi_archivemail_agent --identifier akonadi_archivemail_agent
rnyhof      2410    2367  0 07:23 ?        00:00:00 /usr/bin/akonadi_birthdays_resource --identifier akonadi_birthdays_resource
rnyhof      2411    2367  0 07:23 ?        00:00:00 /usr/bin/akonadi_contacts_resource --identifier akonadi_contacts_resource_0
rnyhof      2412    2367  0 07:23 ?        00:00:01 /usr/bin/akonadi_followupreminder_agent --identifier akonadi_followupreminder_agent
rnyhof      2413    2367  0 07:23 ?        00:00:00 /usr/bin/akonadi_ical_resource --identifier akonadi_ical_resource_0
rnyhof      2414    2367  0 07:23 ?        00:00:01 /usr/bin/akonadi_indexing_agent --identifier akonadi_indexing_agent
rnyhof      2415    2367  0 07:23 ?        00:00:01 /usr/bin/akonadi_maildir_resource --identifier akonadi_maildir_resource_0
rnyhof      2416    2367  0 07:23 ?        00:00:01 /usr/bin/akonadi_maildispatcher_agent --identifier akonadi_maildispatcher_agent
rnyhof      2417    2367  0 07:23 ?        00:00:01 /usr/bin/akonadi_mailfilter_agent --identifier akonadi_mailfilter_agent
rnyhof      2421    2367  0 07:23 ?        00:00:01 /usr/bin/akonadi_mailmerge_agent --identifier akonadi_mailmerge_agent
rnyhof      2424    2367  0 07:23 ?        00:00:00 /usr/bin/akonadi_migration_agent --identifier akonadi_migration_agent
rnyhof      2427    2367  0 07:23 ?        00:00:01 /usr/bin/akonadi_newmailnotifier_agent --identifier akonadi_newmailnotifier_agent
rnyhof      2430    2367  0 07:23 ?        00:00:01 /usr/bin/akonadi_sendlater_agent --identifier akonadi_sendlater_agent
rnyhof      2434    2367  0 07:23 ?        00:00:01 /usr/bin/akonadi_unifiedmailbox_agent --identifier akonadi_unifiedmailbox_agent
rnyhof      2455    1797  0 07:23 ?        00:00:12 /usr/bin/konsole
rnyhof      2513    2455  0 07:23 pts/0    00:00:00 /bin/ksh -l
root        2569       1  0 07:23 ?        00:00:00 /usr/libexec/nm-openvpn-service --bus-name org.freedesktop.NetworkManager.openvpn.Connection_3
nm-open+    2576    2569  0 07:23 ?        00:00:09 /usr/sbin/openvpn --remote frankfurt.eyefreight.com 1194 udp --explicit-exit-notify --nobind --dev tun --auth SHA512 --auth-nocache --tls-auth /home/rnyhof/.cert/nm-openvpn/frankfurt-tls-auth.pem 1 --remote-cert-tls server --reneg-sec 0 --verb 1 --syslog nm-openvpn --script-security 2 --up /usr/libexec/nm-openvpn-service-openvpn-helper --debug 0 2569 --bus-name org.freedesktop.NetworkManager.openvpn.Connection_3 --tun -- --up-restart --persist-key --persist-tun --management /var/run/NetworkManager/nm-openvpn-e0063200-34cf-48af-842f-c11b9c1bac1f unix --management-client-user root --management-client-group root --management-query-passwords --auth-retry interact --route-noexec --ifconfig-noexec --client --ca /home/rnyhof/.cert/nm-openvpn/frankfurt-ca.pem --cert /home/rnyhof/.cert/nm-openvpn/frankfurt-cert.pem --key /home/rnyhof/.cert/nm-openvpn/frankfurt-key.pem --user nm-openvpn --group nm-openvpn
root        2848       2  0 07:25 ?        00:00:00 [psimon]
rnyhof      2870    2455  0 07:26 pts/2    00:00:00 /bin/ksh -l
root        3164       1  0 07:28 ?        00:00:00 /usr/sbin/pcscd --foreground --auto-exit
rnyhof      3324    1797  0 07:29 ?        00:01:23 /usr/lib64/firefox/firefox
rnyhof      3330    1197  0 07:29 ?        00:00:02 /usr/libexec/cgroupify app-firefox-e70d6afe817540c7998102aa4db6861a.scope
rnyhof      3390    3324  0 07:29 ?        00:00:00 /usr/lib64/firefox/firefox -contentproc -parentBuildID 20240313130426 -prefsLen 31452 -prefMapSize 238976 -appDir /usr/lib64/firefox/browser {7e5991e6-c798-481e-ad38-5a2b1e5ba5c5} 3324 true socket
rnyhof      3419    3324  0 07:29 ?        00:00:01 /usr/lib64/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 31555 -prefMapSize 238976 -jsInitLen 234952 -parentBuildID 20240313130426 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser {e74ce83f-9ae2-4c1f-aaf9-7d17e809e2c2} 3324 true tab
